project,region,sector_code,investment_usd,db_used,tier,supplying_sector,spend_M$,GHG_tCO2e,Employment_FTE,Water_1000m3,ValueAdded_M$,cumul_GHG_tCO2e,cumul_Employment_FTE,cumul_Water_1000m3,cumul_ValueAdded_M$
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,4,Transport_Logistics,0.12335,28.49,1.83,0.1051,0.07401,16538.56,765.75,118.798,25.02
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,4,Water_Waste,0.06753,10.99,1.28,0.8374,0.0466,16538.56,765.75,118.798,25.02
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,5,Agriculture,0.024,4.03,0.89,0.198,0.01824,16715.09,773.31,120.224,25.295
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,5,Construction,0.04112,12.66,0.91,0.051,0.01974,16715.09,773.31,120.224,25.295
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,5,Energy_Utilities,0.06895,24.89,0.51,0.1365,0.04413,16715.09,773.31,120.224,25.295
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,5,Health_Social,0.04449,8.84,1.3,0.0621,0.03114,16715.09,773.31,120.224,25.295
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,5,Manufacturing,0.12108,63.49,1.47,0.2761,0.05085,16715.09,773.31,120.224,25.295
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,5,Mining_Extraction,0.10154,44.84,1.08,0.2778,0.05686,16715.09,773.31,120.224,25.295
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,5,Transport_Logistics,0.05553,12.83,0.82,0.0473,0.03332,16715.09,773.31,120.224,25.295
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,5,Water_Waste,0.03042,4.95,0.58,0.3772,0.02099,16715.09,773.31,120.224,25.295
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,6,Agriculture,0.01081,1.82,0.4,0.0891,0.00821,16794.59,776.71,120.866,25.419
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,6,Construction,0.01851,5.7,0.41,0.023,0.00888,16794.59,776.71,120.866,25.419
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,6,Energy_Utilities,0.03104,11.21,0.23,0.0615,0.01987,16794.59,776.71,120.866,25.419
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,6,Health_Social,0.02003,3.98,0.58,0.0279,0.01402,16794.59,776.71,120.866,25.419
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,6,Manufacturing,0.05451,28.59,0.66,0.1243,0.0229,16794.59,776.71,120.866,25.419
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,6,Mining_Extraction,0.04571,20.19,0.49,0.1251,0.0256,16794.59,776.71,120.866,25.419
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,6,Transport_Logistics,0.025,5.78,0.37,0.0213,0.015,16794.59,776.71,120.866,25.419
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,6,Water_Waste,0.01369,2.23,0.26,0.1698,0.00945,16794.59,776.71,120.866,25.419
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,7,Agriculture,0.00486,0.82,0.18,0.0401,0.0037,16830.38,778.24,121.154,25.475
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,7,Construction,0.00833,2.57,0.18,0.0103,0.004,16830.38,778.24,121.154,25.475
hospitals_P2,Africa,Health_Specialized,25000000.0,benchmark,7,Energy_Utilities,0.01398,5.05,0.1,0.0277,0.00894,16830.38,778.24,121.154,25.475
